reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
11;Vague 5 : 28-30 avr;21,5;17,4;26,1;21,3;17,3;25,9;69,3;64,3;73,9;44,5;39,4;49,7;60,6;55,4;65,6;5,33;5,15;5,51;2,92;2,79;3,05;;;;39,8;34,8;45,0;;;
24;Vague 5 : 28-30 avr;18,3;11,5;27,9;12,8;7,2;21,8;67,5;56,9;76,6;48,1;37,8;58,6;69,0;58,4;78,0;5,58;5,19;5,96;3,06;2,81;3,31;;;;33,9;24,7;44,4;;;
27;Vague 5 : 28-30 avr;15,9;9,9;24,6;22,3;15,0;32,0;70,0;60,1;78,4;45,4;35,7;55,4;60,3;50,0;69,7;5,37;5,02;5,72;3,01;2,80;3,23;;;;31,6;23,1;41,6;;;
28;Vague 5 : 28-30 avr;28,3;20,4;37,8;25,8;18,2;35,2;74,8;65,8;82,1;36,4;27,8;46,0;61,1;51,5;70,0;5,07;4,71;5,43;2,71;2,47;2,95;;;;28,9;21,0;38,3;;;
32;Vague 5 : 28-30 avr;16,3;11,7;22,2;15,6;11,0;21,6;68,0;60,9;74,3;43,0;36,1;50,2;52,5;45,3;59,6;5,06;4,77;5,36;2,82;2,63;3,02;;;;23,9;18,4;30,4;;;
44;Vague 5 : 28-30 avr;19,8;14,1;27,2;23,5;17,4;30,9;65,4;57,4;72,6;42,3;34,7;50,4;60,2;52,2;67,8;5,20;4,90;5,50;2,79;2,58;3,00;;;;39,5;32,0;47,6;;;
52;Vague 5 : 28-30 avr;13,3;8,3;20,7;16,4;10,7;24,4;58,3;49,2;66,8;41,8;33,3;50,8;55,7;46,7;64,3;5,37;5,08;5,66;3,03;2,84;3,21;;;;26,2;19,0;34,9;;;
53;Vague 5 : 28-30 avr;13,5;8,3;21,3;18,3;12,1;16,8;64,5;55,0;73,0;42,8;33,8;52,2;59,3;49,8;68,1;5,31;4,99;5,63;2,93;2,71;3,15;;;;23,0;16,1;31,7;;;
75;Vague 5 : 28-30 avr;15,3;10,7;21,3;14,2;9,9;20,0;59,5;52,4;66,2;42,1;35,3;49,2;59,7;52,6;66,4;5,28;5,01;5,54;2,89;2,72;3,06;;;;30,6;24,6;37,5;;;
76;Vague 5 : 28-30 avr;18,0;12,7;24,9;22,8;16,7;30,3;66,1;58,2;73,2;47,2;39,3;55,2;61,7;53,6;69,1;5,37;5,08;5,66;2,99;2,80;3,19;;;;29,3;22,6;37,1;;;
84;Vague 5 : 28-30 avr;17,7;13,4;23,0;18,1;13,8;23,4;68,0;62,1;73,5;43,6;37,6;49,8;65,2;59,1;70,9;5,47;5,25;5,69;2,98;2,84;3,12;;;;37,1;31,3;43,2;;;
93;Vague 5 : 28-30 avr;15,3;10,6;21,6;18,3;13,1;25,0;59,5;51,9;66,8;39,6;32,5;47,3;58,4;50,7;65,7;5,20;4,92;5,48;2,85;2,67;3,04;;;;34,6;27,7;42,1;;;
11;Vague 6 : 4-6 mai;15,8;12,4;19,9;19,8;16,0;24,3;64,6;59,5;69,4;43,9;38,8;49,0;56,4;51,3;61,5;5,10;4,90;5,30;2,83;2,71;2,96;;;;44,8;39,7;49,9;;;
24;Vague 6 : 4-6 mai;12,2;6,9;20,8;18,1;11,4;27,6;68,2;57,8;77,1;47,3;37,0;57,8;54,8;44,2;64,9;5,30;4,91;5,70;2,96;2,70;3,21;;;;45,7;35,5;56,2;;;
27;Vague 6 : 4-6 mai;20,7;13,4;30,6;15,8;9,6;25,0;72,6;62,2;80,9;46,5;36,3;57,1;65,4;54,7;74,8;5,46;5,08;5,83;3,01;2,77;3,25;;;;44,9;34,8;55,5;;;
28;Vague 6 : 4-6 mai;18,9;12,0;28,4;25,1;17,4;35,5;71,2;61,1;79,5;48,3;38,1;58,7;66,4;55,9;75,4;5,44;5,05;5,82;2,94;2,68;3,21;;;;37,2;27,8;47,6;;;
32;Vague 6 : 4-6 mai;20,4;15,3;26,7;22,1;16,8;28,5;67,8;60,8;74,1;46,6;39,6;53,6;61,3;54,2;67,9;5,37;5,13;5,62;3,01;2,85;3,17;;;;35,0;28,6;42,0;;;
44;Vague 6 : 4-6 mai;21,3;15,8;28,2;18,6;13,5;25,2;59,7;52,2;66,8;38,5;31,5;46,0;52,1;44,6;59,5;5,09;4,81;5,38;2,88;2,70;3,05;;;;36,6;29,7;44,1;;;
52;Vague 6 : 4-6 mai;19,6;13,5;27,6;19,4;13,2;27,5;58,6;49,7;67,0;46,5;37,9;55,4;56,6;47,7;65,1;5,23;4,88;5,59;2,92;2,70;3,15;;;;30,6;23,1;39,2;;;
53;Vague 6 : 4-6 mai;19,2;12,8;27,7;15,9;10,2;23,9;65,0;55,6;73,4;36,9;28,4;46,3;54,6;45,2;63,7;5,15;4,80;5,49;2,86;2,64;3,08;;;;19,5;13,2;28,0;;;
75;Vague 6 : 4-6 mai;18,3;13,2;25,0;18,7;13,5;25,5;64,3;56,7;71,3;42,6;35,3;50,3;60,9;53,2;68,1;5,23;4,94;5,52;2,87;2,68;3,06;;;;41,3;34,1;48,9;;;
76;Vague 6 : 4-6 mai;16,0;11,2;22,3;12,4;8,3;18,1;71,5;64,4;77,7;47,3;40,0;54,7;58,5;51,0;65,6;5,50;5,26;5,73;3,08;2,92;3,23;;;;42,2;35,1;49,6;;;
84;Vague 6 : 4-6 mai;20,1;15,6;25,5;19,3;14,9;24,7;68,8;62,9;74,1;43,9;37,9;50,1;53,6;47,4;59,6;5,14;4,91;5,38;2,88;2,73;3,03;;;;32,6;27,1;38,6;;;
93;Vague 6 : 4-6 mai;19,2;13,9;25,9;16,0;11,1;22,6;66,4;58,9;73,1;47,4;39,9;55,0;53,3;45,7;60,8;5,30;5,03;5,57;3,03;2,86;3,20;;;;47,0;39,6;54,6;;;
11;Vague 7 : 13-15 mai;17,8;14,1;22,3;14,4;11,1;18,6;69,1;64,0;73,8;47,3;42,0;52,7;;;;;;;3,01;2,88;3,14;66,8;61,6;71,7;51,4;46,0;56,7;;;
24;Vague 7 : 13-15 mai;16,9;9,7;27,7;12,6;6,6;22,8;74,4;63,7;82,8;39,5;29,1;50,9;;;;;;;2,85;2,56;3,14;65,6;54,4;75,3;48,5;37,6;59,5;;;
27;Vague 7 : 13-15 mai;17,7;10,8;27,6;10,4;5,7;18,2;73,0;63,1;81,0;41,5;32,0;51,6;;;;;;;2,90;2,66;3,14;70,9;60,6;79,3;43,9;34,2;54,1;;;
28;Vague 7 : 13-15 mai;13,8;8,2;22,3;17,5;11,2;26,4;60,1;49,9;69,5;34,6;26,0;44,4;;;;;;;2,64;2,39;2,90;65,9;55,7;74,7;35,8;26,9;45,7;;;
32;Vague 7 : 13-15 mai;22,1;16,5;29,0;18,6;13,6;25,0;68,7;61,4;75,2;31,5;25,0;38,7;;;;;;;2,60;2,42;2,78;68,2;61,0;74,6;38,8;31,9;46,1;;;
44;Vague 7 : 13-15 mai;17,5;12,5;23,9;16,2;11,3;22,7;60,9;53,3;68,0;43,8;36,6;51,3;;;;;;;2,98;2,80;3,15;75,4;68,1;81,6;48,6;41,2;56,1;;;
52;Vague 7 : 13-15 mai;23,0;16,2;31,6;13,6;8,3;21,4;73,2;64,4;80,5;36,3;28,1;45,4;;;;;;;2,70;2,46;2,95;61,1;51,6;69,8;45,4;36,4;54,7;;;
53;Vague 7 : 13-15 mai;17,5;11,4;25,9;10,4;5,9;17,8;64,6;55,0;73,1;45,7;36,4;55,2;;;;;;;2,91;2,69;3,14;67,1;57,4;75,4;43,4;34,2;53,0;;;
75;Vague 7 : 13-15 mai;15,4;10,5;22,0;11,3;7,3;17,1;71,8;64,2;78,3;41,1;33,6;49,0;;;;;;;2,86;2,66;3,07;74,4;66,7;80,9;42,0;34,6;49,9;;;
